,Source,source_pathways
1290,P17948,"RTK(non-core),JAK/STAT(core)"
1294,Q04721,Notch(core)
1299,P03372,"NHR(core),TGF(non-core)"
1303,Q92542,Notch(core)
1306,Q15303,"RTK(core),JAK/STAT(core)"
1316,P37023,TGF(core)
1328,P03372,"NHR(core),TGF(non-core)"
1330,P54764,RTK(core)
1344,Q08334,JAK/STAT(core)
1351,P21802,RTK(core)
1359,P00533,"RTK(core),JAK/STAT(core)"
1366,P36894,TGF(core)
1383,P10912,JAK/STAT(core)
1396,P08069,RTK(core)
1400,P00533,"RTK(core),JAK/STAT(core)"
1408,Q15303,"RTK(core),JAK/STAT(core)"
1415,P17948,"RTK(non-core),JAK/STAT(core)"
1418,Q15303,"RTK(core),JAK/STAT(core)"
1422,P40189,JAK/STAT(core)
1432,P11362,RTK(core)
1434,P29376,RTK(core)
1441,P01133,RTK(core)
1450,O43914,
1452,P07333,JAK/STAT(core)
1463,P16871,JAK/STAT(core)
1471,Q04771,TGF(core)
1473,P06213,RTK(core)
1480,P48551,JAK/STAT(core)
1488,P46531,"Notch(core),WNT/Wingless(core)"
1489,Q13705,TGF(core)
1508,P46531,"Notch(core),WNT/Wingless(core)"
1513,P08069,RTK(core)
1516,P06213,RTK(core)
1519,P78536,Notch(non-core)
1535,O14763,
1538,Q06418,RTK(core)
1540,P01730,
1543,P08069,RTK(core)
1546,Q9UM47,Notch(core)
1550,P03372,"NHR(core),TGF(non-core)"
1551,P29320,RTK(core)
1559,Q92542,Notch(core)
1566,Q02763,RTK(core)
1571,P17181,JAK/STAT(core)
1574,P46531,"Notch(core),WNT/Wingless(core)"
1580,P08887,JAK/STAT(core)
1589,Q04771,TGF(core)
1591,P40189,JAK/STAT(core)
1594,P36894,TGF(core)
1602,P08069,RTK(core)
1610,P16471,JAK/STAT(core)
1612,Q96JA1,RTK(non-core)
1616,Q92542,Notch(core)
1623,Q02763,RTK(core)
1627,P15260,JAK/STAT(core)
1631,P46531,"Notch(core),WNT/Wingless(core)"
1636,Q6UWB1,JAK/STAT(core)
1645,P06213,RTK(core)
1646,Q16620,RTK(core)
1648,P35968,RTK(core)
1655,P17948,"RTK(non-core),JAK/STAT(core)"
1656,P10721,"RTK(core),JAK/STAT(core)"
1665,P36897,"RTK(core),TGF(core)"
1667,P98172,RTK(core)
1669,P14784,
1670,Q13873,TGF(core)
1673,P03372,"NHR(core),TGF(non-core)"
1686,P46531,"Notch(core),WNT/Wingless(core)"
1698,P29317,RTK(core)
1699,P21802,RTK(core)
1704,Q9UM47,Notch(core)
1710,P11912,
1711,P36897,"RTK(core),TGF(core)"
1721,Q15303,"RTK(core),JAK/STAT(core)"
1722,Q8N6P7,JAK/STAT(core)
1724,P06213,RTK(core)
1730,P37173,"RTK(core),TGF(core)"
1731,Q13873,TGF(core)
1741,Q04912,RTK(non-core)
1747,P10912,JAK/STAT(core)
1750,P21802,RTK(core)
1755,P08069,RTK(core)
1761,Q9UM73,RTK(core)
1773,P00533,"RTK(core),JAK/STAT(core)"
1774,P10721,"RTK(core),JAK/STAT(core)"
1779,P17948,"RTK(non-core),JAK/STAT(core)"
1780,P78357,
1786,P21802,RTK(core)
1787,P21802,RTK(core)
1788,P46531,"Notch(core),WNT/Wingless(core)"
1795,Q02297,RTK(core)
1810,P21860,RTK(core)
1816,P05106,
1824,O15455,
1829,P00533,"RTK(core),JAK/STAT(core)"
1830,Q96JA1,RTK(non-core)
1838,P21860,RTK(core)
1850,P00533,"RTK(core),JAK/STAT(core)"
1856,P06213,RTK(core)
1864,P04626,RTK(core)
1866,P04629,RTK(core)
1867,P10721,"RTK(core),JAK/STAT(core)"
1871,P15391,
1876,P38484,JAK/STAT(core)
1881,P00533,"RTK(core),JAK/STAT(core)"
1884,P48551,JAK/STAT(core)
1885,P16234,RTK(core)
1887,Q15303,"RTK(core),JAK/STAT(core)"
1893,P35968,RTK(core)
1894,P46531,"Notch(core),WNT/Wingless(core)"
1898,P09603,JAK/STAT(core)
1902,P36897,"RTK(core),TGF(core)"
1916,P01730,
1921,P16234,RTK(core)
1930,P48551,JAK/STAT(core)
